,id,Idade,Faixa idade,Genero,Estado onde mora,uf onde mora,Regiao onde mora,Regiao de origem,Mudou de Estado?,Nivel de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionarios,Gestor?,Cargo como Gestor,Cargo Atual,Nivel,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Você participou de entrevistas de emprego nos últimos 6 meses?,Você pretende mudar de emprego nos próximos 6 meses?,Ainda não conhecia o Data Hackers
998,r6s8081hhy6nahlft75lr6s808glmtp0,44,40-44,Feminino,São Paulo (SP),SP,Sudeste,,0,Mestrado,Estatística/ Matemática / Matemática Computacional,Empreendedor ou Empregado (CNPJ),Telecomunicação,de 1001 a 3000,0.0,,Estatístico,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",1
999,r677bwulsrmtyod3gw81r677bt7elcka,44,40-44,Masculino,Rio de Janeiro (RJ),RJ,Sudeste,Nordeste,1,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Servidor Público,Tecnologia/Fábrica de Software,Acima de 3000,0.0,,Analista de Negócios/Business Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",0
1000,r5y28qbvzflh0fyorfr5y28smsvq56ko,26,25-29,Feminino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Educação,de 501 a 1000,0.0,,Cientista de Dados/Data Scientist,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado e mudei de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,0
1001,qqb6dzpvzcqxfeh1i7bqqb28gk5ya00v,31,30-34,Masculino,Minas Gerais (MG),MG,Sudeste,,0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1000,0.0,,Engenheiro de Dados/Data Engineer,Júnior,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Menos de 1 ano,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades",0
1002,qmhvx2zw3oga6wqiqmh4lfbp2h48boa1,32,30-34,Feminino,Minas Gerais (MG),MG,Sudeste,Sudeste,1,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,de 6 a 10,0.0,,Outro,Pleno,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Estou em busca de oportunidades dentro ou fora do Brasil,0
1003,r5clr0wqaki0vkiva2lndr5clr0wqkrb,23,22-24,Masculino,Distrito Federal (DF),DF,Centro-oeste,,0,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,de 101 a 500,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 1 a 2 anos,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades",0
1004,r50rhfqggij69ir50rheobay6su4sdmx,21,17-21,Masculino,São Paulo (SP),SP,Sudeste,Sudeste,1,Estudante de Graduação,Ciências Sociais,Empregado (CLT),Finanças ou Bancos,de 101 a 500,0.0,,Engenheiro de Dados/Data Engineer,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Estou em busca de oportunidades dentro ou fora do Brasil,0
1005,r4x27xqph4v9pmik64r4x27xmpfy8b5d,28,25-29,Masculino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Química / Física,Empregado (CLT),Finanças ou Bancos,de 501 a 1000,0.0,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado mas decidi não mudar de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,1
1006,qcozc7hvvji2gkpgg2qcozqpbb897res,35,35-39,Masculino,Distrito Federal (DF),DF,Centro-oeste,,0,Mestrado,Química / Física,Servidor Público,Setor Público,de 1001 a 3000,0.0,,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",0
1007,r2u89rkjq3gbsq7j4r2u1j3zz3dguezs,26,25-29,Masculino,Goiás (GO),GO,Centro-oeste,,0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Imobiliário,de 101 a 500,0.0,,Outro,Júnior,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado mas decidi não mudar de emprego",Estou em busca de oportunidades dentro ou fora do Brasil,0
1008,r2rhuvbiitvxjgiver2rhu6pofhgab2d,48,45-49,Masculino,São Paulo (SP),SP,Sudeste,,0,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Mais de 10 anos,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades",0
1009,r24fpkbfu3mwx3amxr24fn93gv57d98a,37,35-39,Masculino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Telecomunicação,Acima de 3000,0.0,,Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Estou em busca de oportunidades, mas apenas fora do Brasil",0
1010,r0cutuhqnixiz1r0cutz7uecwk2x2arz,28,25-29,Feminino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Servidor Público,Setor Público,Acima de 3000,0.0,,Cientista de Dados/Data Scientist,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,0
